instance_file,run_id,benefit,time,_source_file,Solution,alpha,beta,biggest_first,capacity_used,evaluations,final_temp,first_solution,gamma,initial_temp,method,params,run_finding_initial_temp,run_seed,seed,solution,start_time,starting_find_temp,timestamp
input/prob-software-85-100-812-12180.txt,simulated_annealing_43,11714,9.788463354110718,simulated_annealing.csv,,0.95,1.125,,12155,20000, ,random,0.9,1000.0,,,True,6,,1227107813420921153383150124031,1760382515.9117043,1000.0,2025-10-13T16:08:45.700198
input/sukp02_100_85_0.10_0.75.txt,simulated_annealing_250,13082,6.793663263320923,simulated_annealing.csv,,0.999,1.5,,11984,10001,0.045173345977048314,random,0.9,1000,,,False,4,,38232241861191956890123770,1760709749.8430746,1000,2025-10-17T11:02:36.636772
input/sukp03_100_100_0.10_0.75.txt,simulated_annealing_77,13803,6.662704229354858,simulated_annealing.csv,,0.95,1.5,,11209,10001,1.722078277288059e-220,random,0.8,1000.0,,,False,13,,945786171050219171222784834557,1760384619.9697971,1000.0,2025-10-13T16:43:46.632533
input/sukp06_200_200_0.10_0.75.txt,simulated_annealing_132,10104,46.06769108772278,simulated_annealing.csv,,0.95,2.0,,25618,19999,8.610391386440295e-221,random,0.9,500.0,,,False,20,,1531600562651535338782121663166517454653422416665813299429339,1760385470.1338573,500.0,2025-10-13T16:58:36.201599
input/sukp07_285_300_0.10_0.75.txt,constructive_7705,7704,0.0019230842590332031,constructive.csv,,,,,38832,1,,,,,create_pack_benefit_greedy_solution,biggest_first=True,,,1622252848154648481779052703966520678253594508686293007238790315653024432251702490831218685,,,,2025-10-17T12:31:44.027878
input/sukp12_400_400_0.10_0.75.txt,constructive_157,6983,0.0064783096313476,constructive.csv,,,,,49755,1,,,,,create_pack_benefit_greedy_solution,default,,,,,,,2025-10-15T12:10:43.888380
input/sukp18_100_100_0.15_0.85.txt,simulated_annealing_179,13498,6.710553646087647,simulated_annealing.csv,,0.95,1.5,,15179,10001,8.610391386440295e-221,random,0.8,500.0,,,False,14,,1247833884648989648513184759807,1760386958.473777,500.0,2025-10-13T17:22:45.184366
input/sukp24_300_300_0.15_0.85.txt,constructive_311,6490,0.0052721500396728,constructive.csv,,,,,45875,1,,,,,create_pack_benefit_greedy_solution,default,,,,,,,2025-10-15T12:10:49.066120
input/sukp28_485_500_0.15_0.85.txt,constructive_5467,6303,0.008947610855102539,constructive.csv,12,,,,71645,1,,,,,create_randomized_pack_benefit_greedy_solution,biggest_first=False,,,3247810853942772854849805152669990462352800874858491026973391874935536644212212298334294083651391478398907758046693351966416062716417065771926573546495,,,,2025-10-17T12:22:10.270854
input/sukp29_500_485_0.15_0.85.txt,constructive_1237,6651,0.0171048641204834,constructive.csv,,,,,67470,1,,,,,create_pack_benefit_greedy_solution,biggest_first=True,,,,,,,2025-10-15T21:24:46.985880
