method,count,best,median,avg,std,interquartile_range,outliers
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
create_dep_size_greedy_solution,84,9351,0,1203.63,2656.80,95.00,18
create_num_pack_greedy_solution,84,9343,0,1629.01,3254.11,967.00,14
create_pack_benefit_greedy_solution,84,9515,5428,4536.94,3396.91,7280.00,0
create_randomic_solution,2520,7479,0,1028.98,1645.72,2262.00,22
create_randomized_dep_size_greedy_solution,2520,8491,0,950.68,1565.42,1881.00,115
create_randomized_num_pack_greedy_solution,2520,7691,0,1368.00,2086.75,2858.00,22
create_randomized_pack_benefit_greedy_solution,2520,10514,5436,5669.45,2195.17,2530.00,180
create_randomized_ratio_greedy_solution,2520,7433,0,1462.78,2196.99,3309.00,0
create_ratio_greedy_solution,84,11654,0,2047.88,3878.64,1669.00,14
