run_id,instance_file,run_seed,solution,benefit,first_solution,biggest_first,starting_find_temp,initial_temp,final_temp,alpha,beta,gamma,run_finding_initial_temp,start_time,time,evaluations,capacity_used,timestamp,_source_file
simulated_annealing_43,input/prob-software-85-100-812-12180.txt,6,1227107813420921153383150124031,11714,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760382515.9117043,9.788463354110718,20000,12155,2025-10-13T16:08:45.700198,simulated_annealing.csv
simulated_annealing_250,input/sukp02_100_85_0.10_0.75.txt,4,38232241861191956890123770,13082,random,,1000,1000,0.045173345977048314,0.999,1.5,0.9,False,1760709749.8430746,6.793663263320923,10001,11984,2025-10-17T11:02:36.636772,simulated_annealing.csv
simulated_annealing_77,input/sukp03_100_100_0.10_0.75.txt,13,945786171050219171222784834557,13803,random,,1000.0,1000.0,1.722078277288059e-220,0.95,1.5,0.8,False,1760384619.9697971,6.662704229354858,10001,11209,2025-10-13T16:43:46.632533,simulated_annealing.csv
simulated_annealing_132,input/sukp06_200_200_0.10_0.75.txt,20,1531600562651535338782121663166517454653422416665813299429339,10104,random,,500.0,500.0,8.610391386440295e-221,0.95,2.0,0.9,False,1760385470.1338573,46.06769108772278,19999,25618,2025-10-13T16:58:36.201599,simulated_annealing.csv
simulated_annealing_273,input/sukp07_285_300_0.10_0.75.txt,5,867514061863387447204910268917140189221177293508911139211998150590680932389873756809161780,759,random,,1000,1500.0,8.552062338967584e-117,0.9,1.5,0.9,False,1763238826.3171837,60.01327395439148,5337,32191,2025-11-15T17:34:46.330569,simulated_annealing.csv
simulated_annealing_167,input/sukp12_400_400_0.10_0.75.txt,7,1855754336072816072673328034289026934573114019218085832224239910025402679470214837207647891725086359458680087790792652018,244,random,,1000.0,1000.0,1.722078277288059e-220,0.95,1.5,0.9,False,1760386748.1778033,87.96990942955017,10001,36711,2025-10-13T17:20:36.147796,simulated_annealing.csv
simulated_annealing_179,input/sukp18_100_100_0.15_0.85.txt,14,1247833884648989648513184759807,13498,random,,500.0,500.0,8.610391386440295e-221,0.95,1.5,0.8,False,1760386958.473777,6.710553646087647,10001,15179,2025-10-13T17:22:45.184366,simulated_annealing.csv
simulated_annealing_223,input/sukp24_300_300_0.15_0.85.txt,6,1246454466008666965619781976010336585665648403367108588856344146006841423529821732191843310,362,random,,1000,1500.0,1.041445934447947e-62,0.95,1.5,0.9,False,1760576324.894518,90.02527046203613,5462,30591,2025-10-15T22:00:14.920055,simulated_annealing.csv
simulated_annealing_260,input/sukp28_485_500_0.15_0.85.txt,4,413780757005286892740689326956010360820496476322760659466258320457649211450249215467199834694961261534027288476673286241241931758435459203738357573153,0,random,,1000,1500.0,13.381328149684235,0.999,1.5,0.9,False,1760710431.4140606,90.02303910255432,4718,39702,2025-10-17T11:15:21.437202,simulated_annealing.csv
simulated_annealing_40,input/sukp29_500_485_0.15_0.85.txt,1,49935401352535084337195460887811747579440518704192379942983700369013641534516579481499848864692439797784454808796024584445364804998715332231921241,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760305721.341825,30.12686252593994,633,67502,2025-10-12T18:49:11.468923,simulated_annealing.csv
