Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,4 8 9 14 15 17 11 7 13 2 16 5 10 12 3 1 6 0,31.137757216737104,40,0.95,3.4795911472034945e-49,1000,,,
RRT,0,16 7 2 13 11 15 9 14 8 6 1 3 12 10 5 4 0 17,41.67533296662113,53,0.125,,,,5.4484184598886785,
GDA,0,16 10 6 4 15 9 14 17 13 7 11 2 5 12 3 1 8 0 15,52.19974631192273,63,,,,0.008328453301765511,,62.86316552171167
SA,1,14 15 17 11 7 13 2 16 5 10 12 3 1 6 4 8 0 9,29.66562126173752,37,0.95,1.5314608598888486e-49,1000,,,
RRT,1,13 2 16 7 11 17 15 9 8 6 4 3 12 5 10 14 0 1,42.7565081079218,51,0.125,,,,9.17873653623719,
GDA,1,2 13 11 17 15 7 5 16 12 6 10 4 14 9 8 0 1 3,53.15049131704275,68,,,,0.008328453301765511,,67.84358059617023
SA,2,9 14 15 17 11 13 2 16 5 10 12 3 1 6 4 8 0 7,29.073262114491122,36,0.95,1.890815887148277e-48,1000,,,
RRT,2,11 15 17 14 4 9 8 6 12 3 1 10 5 16 2 13 2 7 0,41.01656083850945,52,0.125,,,,7.343059704890957,
GDA,2,15 17 11 7 2 13 16 5 10 12 3 1 6 4 8 0 14 9,29.591830944406112,37,,,,0.008328453301765511,,24.677207133120604
SA,3,15 17 11 13 2 16 5 10 12 3 1 6 4 8 0 14 9 7,27.837194136991332,34,0.95,1.54995097828043e-56,1000,,,
RRT,3,4 8 6 14 3 12 10 5 16 2 13 7 11 17 15 9 0 1,39.8626456186012,51,0.125,,,,7.499587194935096,
GDA,3,9 15 14 8 6 7 13 2 17 11 16 10 3 1 12 1 4 5 0,56.300513914707814,68,,,,0.008328453301765511,,68.2350179013535
SA,4,9 8 14 15 17 11 13 2 7 16 5 10 12 3 1 6 4 0,31.821326212286404,39,0.95,4.4183525690322634e-43,1000,,,
RRT,4,15 17 11 2 13 7 16 5 10 1 3 6 8 9 4 14 0 12,38.988188916332135,48,0.125,,,,8.112128995932842,
GDA,4,11 17 15 14 7 13 2 5 1 3 12 10 6 4 8 0 9 16,36.955931779442594,47,,,,0.008328453301765511,,30.215628578794117
